NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
napawíka ko'póa ra sópa yúa ba		coman revuelto con sopa		BFL: she must have said [napabúka]	co1136[00_185-00_208].wav
sópa úa nasóoka birá ko'póa ba		revuelvan cpon sopa para que coman		target [nasowa] revolver; weak context; mid	co1136[00_219-00_244].wav
nasóoka sópa úa ba na muní ba		revuelto sopa con frijoles		target [nasowa] revolver; weak context; phrase-initial	co1136[00_255-00_282].wav
nasóoka ko'póo okoná ko'póa birá ba		hay que comer revolviendo, hay que comer de las dos comidas		target [nasowa] revolver; weak context; phrase-initial	co1136[00_292-00_319].wav
nasóoka okuá nirá ko'póo		revolviendo, comer de dos comidas		target [nasowa] revolver; weak context; phrase-initial	co1136[00_352-00_378].wav
okonáki niráa ko'póo ra ba		coman de dos cosas			co1136[00_410-00_428].wav
késoti nasóoka ko'óro rá rapáko ro		ayer comimos revuelto con queso		target [nasowa] revolver; weak context; mid	co1136[00_573-00_597].wav
ma ke ité ku, ma okuá bití ko		ya no hay leña, ya nomás quedan unos pocos			co1136[01_099-01_123].wav
ma píri ko na'ébo muní ba'arí pa?		qué le vamos a echar de lumbre a los frijoles mañana?			co1136[01_128-01_150].wav
ma okuá, ma ke murúmo rá, ma we rikúram ba		nomás pocos, yo creo ya no piensa traer porque ya se emborrachó mucho		target: [muru] cargar leña; strong; 'particle'-final position	co1136[01_215-01_246].wav
ma birá ke murúma aré pa, ka che pe bahíwam, we bahíam ba		yo creo que ya no va a traer´, están tomando mucho, está tomando mucho		target: [muru] cargar; strong; 'particle'-final	co1136[01_331-01_369].wav
ma koti ke wasébo muní?		yo creo ya no vamos a cocer frijoles			co1136[01_377-01_397].wav
we a'rá murú chabée go ba, we bahío rá hípi ko		antes traía mucha leña muy bien, ahora toma mucho		target: [muru]; weak; mid	co1136[01_462-01_491].wav
chiná bitélichi bahíra ré		en la casa de ellos tomó			co1136[02_092-02_108].wav
urí, na'póma		sí, escardar		target: [na'pó] citation	co1136[02_248-02_263].wav
wasá bér á na'póma ré ba		en las tierras va a escardar		target: [na'pó]; strong; 'particle'-final	co1136[02_268-02_293].wav
chabé na'póori		hace mucho que escardaron		target: [na'pó] escardar; passive; final	co1136[02_372-02_386].wav
ma suwábuka na'póoro ró		que ya todos escardaron		target: [na'pó] escardar; passive; particle-final	co1136[02_466-02_484].wav
ichisáwa wel na'póba ru, ma wéri káchi na'pówo ra		ya cuando están grandes es cuando escardan		target: [na'pó] escardar - two tokens; weak; particle-final	co1136[02_548-02_580].wav
urí, na'póa anirío rá échi ko, ma ichisúa ba		sí, se dice escardar ya cuando se siembra		target: [na'pó] escardar; weak; phrase-initial	co1136[03_012-03_046].wav
ke tási shíri		no vinieron			co1136[03_120-03_133].wav
chabé ku shimíri		hace mucho que se fue			co1136[03_150-03_164].wav
tási che nawáa		no ha llegado		target: [nawa] llegar; weak; final	co1136[03_200-03_215].wav
sunísa na'póa pachí ... muní ko ro		primero terminan de escardar el maíz y después el frijol		target: [na'pó] escardar; weak; mid	co1136[03_332-03_357].wav
bachá na'póa pachí ko		primero se escarda el maíz		target: [na'pó] escardar; weak; mid	co1136[03_362-03_380].wav
muní ... munéwa		siembran frijol		tamó ke munéri - no sembramos frijol	co1136[03_498-03_515].wav
munéwa wér á ba		siembran frijol			co1136[03_518-03_534].wav
ronóti rikéka		con el pie se pisa			co1136[04_002-04_017].wav
ronóti rikéka munéwa		se siembra pisando con el pie			co1136[04_019-04_042].wav
ma suwábuka ábi, chiriká nokária ba		ya todos así le hacen, asi le hacen yo creo			co1136[04_180-04_208].wav
pe shuwábuka nokáa ré na'póa á ba		todos escardan, yo creo		target: [na'pó] escardar - weak; particle-final	co1136[04_211-04_236].wav
hu ... na'póka lína we a'rá kayéna orá		sí, escardando es como se da muy bien		target: [na'pó] escardar; weak; initial	co1136[04_348-04_371].wav
ká che kaináma ré ke na'póshuwa ka ba		no se da si no se escarda		target: [na'pó] escardar; strong; particle-final	co1136[04_395-04_418].wav
na'póka lína we a'rá ko		escardando es muy bueno		target: [na'pó] escardar; weak; initial	co1136[04_487-04_507].wav
warí nihío haré kórami		dan un wari algunos kóriamis			co1136[05_185-05_210].wav
urí, échi riwiríchi piréami bér á ba		sí, esos de tewerichi			co1136[05_245-05_265].wav
arío birá sunú, arí		se le da maíz y luego		target [a] dar - irregular form with stress shift; strong; mid	co1136[05_266-05_286].wav
wéri warí ka éna haré		hay unos que traen waris grandes			co1136[05_288-05_315].wav
waríchi ku anáaka aría a		se mide en el wari y se les da		BFL: [anáwka], target [a] dar - irregular form with stress shift; strong; mid	co1136[05_384-05_405].wav
anáaka ku aría		medido se les da		target [a] dar - irregular form with stress shift; strong; final	co1136[05_410-05_427].wav
sunú pa		maíz			co1136[05_434-05_445].wav
sunú ku anáaka arío orá waríchi ko		se mide el maiz en el wari y se les da		target [a] dar - irregular form with stress shift; strong; mid	co1136[05_448-05_468].wav
churú waríchi ba		así de este tanto el wari			co1136[05_471-05_485].wav
urí, échi waríchi bochíami ku arío orá échi		sí, lleno hay que darle el wari		target [a] dar - irregular form with stress shift; strong; mid	co1136[05_490-05_519].wav
échi riwiríchi mi piréam pa		a los de tewerichi			co1136[05_521-05_541].wav
yén cho á, suwába á		también, todos			co1136[05_583-06_000].wav
suwába aría á		a todos se les da		target [a] dar - irregular form with stress shift; strong; mid	co1136[06_013-06_026].wav
ápu warí ká yéni ko ba (traen)		pues los que traen waris			co1136[06_027-06_046].wav
ke biréri tánuwa aré, kíti ke ukú ba		no le piden, por eso no llueve			co1136[06_332-06_356].wav
chabé go we awíam piréi, chabéi go		los de antes eran muy bailadores, antes		target: [awi] bailar; weak; mid	co1136[06_390-06_419].wav
we napabúka sunú		juntaban maiz			co1136[06_424-06_441].wav
iméria nihíka sunú		dando la mitad del maíz (mitad de una medida de diez litros)			co1136[06_469-06_490].wav
urí, arí bahtári niwarí orá		sí y luego se hacía el tesgüino			co1136[06_515-06_541].wav
we a'rá sutubúri oríiri (hicieron) chabée go		hacían muy bien rutubúri antes		LEL: oríriri, BFL: oríri	co1136[07_094-07_116].wav
we a'rá sutubúri oriwá chabée go ba		bailaban mucho rutubúri antes			co1136[07_122-07_145].wav
we a'rá awiwái chabéi, hípi ko ka awiwáa hípi ko me ba		antes bailaban mucho, ahora casi no se baila		target: [awi] bailar - two tokens; strong; mid	co1136[07_148-07_185].wav
érmano nahítiri orá harré, kíti ke awiwáo		como ya se hicieron unos hermanos por eso no bailan ahora		target [awi] bailar; strong; final	co1136[07_191-07_218].wav
ke, káchi awíami ú écho ko ba		no, casi no bailan esos		target: [awi] bailar; weak; mid	co1136[07_239-07_264].wav
méti bér aré ba, méka bér isimípiri aré ku ba		manejan, se van en las camionetas otra vez manejando		target [meti] manejar - two tokens; first: weak, phrase-initial; second: truncated form, strong; phrase-initial	co1136[07_572-08_006].wav
méka bér ku aré ba		si, van manejando yo creo		target [meti] manejar - truncated; strong; initial	co1136[08_032-08_052].wav
wiká puké rarámuri toróka hípi		mucha gente tienen troca ahora			co1136[08_153-08_181].wav
